Receitas Consideradas para fins de Limite Contitucional;R$;R$;R$;R$
Receitas Consideradas para fins de Limite Contitucional;(A);(B);(C);(B/A)
Receitas Consideradas para fins de Limite Contitucional;Receita Prevista;Receita Arrecadada;Diferença (B-A);Arrecadada/Prevista
(+) Impostos (IRRF + IPVA + ITCMD + ITBI + FECP + ICMS + ICM);78.483.646.555,46;29.895.977.012,95;-48.587.669.542,51;38,09
(+)Transferências Recebidas (FPE + IPI + Lei Comp. 87/96 + IOF + EC 123 + LC 194);5.564.620.841,45;1.905.158.149,43;-3.659.462.692,02;34,24
(+) Dívida Ativa dos respectivos Impostos;1.828.417.595,34;1.335.798.395,56;-492.619.199,78;73,06
(+) Receitas de multas ref. a Impostos e Dívida Ativa;1.358.018.746,89;554.593.617,63;-803.425.129,26;40,84
(-) Transf. aos Municípios (IPVA + ITBI + ICMS + ICM + IPI + EC 123 + LC 194 + Dívida Ativa);-18.279.818.599,47;-7.839.001.752,74;10.440.816.846,73;42,88
TOTAL - BASE DE CÁLCULO;68.954.885.139,67;25.852.525.422,83;-43.102.359.716,84;37,49
Separador;0;0;0;0
VALOR A SER APLICADO EM EDUCAÇÃO (25% DA RECEITA ARRECADADA) TOTAL COLUNA (B) X 25% (I);17.238.721.284,92;6.463.131.355,71;-10.775.589.929,21;37,49
Separador;0;0;0;0
