Valores Aplicados em Educação              Função 12;Dotação Atual;Despesa Autorizada;Despesa Empenhada;Despesa Liquidada;Despesa Paga
(+) Fonte 100;5.194.807.180,76;4.391.367.744,13;1.507.285.929,44;1.327.220.952,08;1.263.529.655,31
(+) Fonte 102;0,00;0,00;0,00;0,00;0,00
(+) Fonte 107;0,00;0,00;0,00;0,00;0,00
(+) Fonte 108;0,00;0,00;0,00;0,00;0,00
(+) Fonte 122;729.518.752,42;692.538.312,74;206.046.959,73;134.125.487,31;133.636.757,58
(+) Fonte 129;0,00;0,00;0,00;0,00;0,00
(+) Fonte 148;76.691.306,00;0,00;0,00;0,00;0,00
(+) TOTAL DAS RECEITAS TRANSFERIDAS AO FUNDEB;4.746.950.289,79;4.746.950.289,79;4.746.950.289,79;4.746.950.289,79;4.746.950.289,79
(-) SUPERÁVIT PERMITIDO NO EXERCÍCIO IMEDIATAMENTE ANTERIOR NÃO APLICADO ATÉ O PRIMEIRO QUADRIMESTRE DO EXERCÍCIO ATUAL;0,00;0,00;0,00;0,00;0,00
(-) RECEITAS DO FUNDEB NÃO UTILIZADAS NO EXERCÍCIO, EM VALOR SUPERIOR A 10%;0,00;0,00;58.377.935,29;58.377.935,29;117.624.716,38
(-) Despesa no PT 2253 - Nutrição Escolar para Unidades da FAETEC;28.799.700,00;28.799.700,00;9.668.742,45;4.367.482,94;3.898.194,12
(-) Despesa no PT 2701 - Disponibilização de Refeição;0,00;0,00;0,00;0,00;0,00
(-) Despesa no PT 8302 - Fornecimento de Refeição Preparada;27.409.324,00;27.409.324,00;8.950.000,00;6.484.764,46;6.484.764,46
(-) Despesa com o Rio Previdência (UGE 1234__);0,00;0,00;0,00;0,00;0,00
(-) Despesa com CEPERJ (U.O. 21410) ;0,00;0,00;0,00;0,00;0,00
(-) Despesa com FAPERJ (U.O. 40410);0,00;0,00;0,00;0,00;0,00
(-) Despesa no Elemento 3370%;0,00;0,00;0,00;0,00;0,00
(-) Despesas com Multas/Juros (31900703, 31901308, 31901312, 33903994 e 33904797);0,00;0,00;5.965.245,16;5.907.632,82;5.721.170,03
(-) Despesas com Indenizações e Restituições (33909300 e 44909300);3.813.630,00;3.813.630,00;804.128,33;755.945,18;600.734,63
(-) Despesas com Auxílios (33900800);34.975.968,00;34.975.968,00;16.406.971,37;13.200.704,37;13.190.823,51
(-) Despesas com Inativos e Pensionistas (31900100, 31900300, 31900500 e 33905900);159.870,00;159.870,00;50.849,64;50.849,64;50.849,64
(-) Despesas de material de consumo diversas (33903001, 33903003, 33903007, 33903012, 44905204);0,00;0,00;2.680.656,52;1.311.858,34;1.191.219,34
(-) Despesas de Exercícios Anteriores (Elemento de Despesa 92);0,00;0,00;80.637.255,55;80.484.448,37;79.752.729,73
(-) Restos a Pagar Cancelados (I) - (II);0,00;0,00;0,00;0,00;0,00
   (I) Total dos Restos a Pagar Cancelados - MDE;0,00;0,00;0,00;0,00;0,00
   (II) Restos a Pagar Cancelados - item 5.3.1 do TAC - (Ação Civil Pública 0054872- 30.2018.8.19.0001);0,00;0,00;0,00;0,00;0,00
VALOR TOTAL DESTINADO A APLICAÇÃO EM EDUCAÇÃO (II);10.652.809.036,97;9.735.697.854,66;6.276.741.394,65;6.037.355.107,77;5.915.601.500,84
